image src, ratio, largura na pagina, largura real da imagem
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/non-dairy-frozen-desserts.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/non-gmo.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/original.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/products.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/brazil/1333599-077567000651-topdown-clean.jpg.rendition.1960.1960.jpg,0.48,243,500
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1202282-077567001160-top-down.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1131876-077567000644.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048123-077567001320-top-down-clean.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/876999-delights-cookies---cream-front-of-pack-w-top.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/877206-delights-vanilla-bean-front-of-pack.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048144-077567001313-top-down-clean.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1003764-077567001139-top-down-clean.png.rendition.1960.1960.png,0.18,243,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1333605-breyers-j395346-131.jpg.rendition.1960.1960.jpg,0.43,218,500
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/products/black-raspberry-chocolate.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782959-us-br-1-5qt-black-raspberry-chocolate-83319307-clean-2647.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782953-breyers-black-pack-black-raspberry-choc-26479.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782957-nutritional-26479.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782954-ingredients-26479.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1017646-077567276377-gluten-free-logo.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/754570-kosher-dairy-logo.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/797608-nagh-logo-22700.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046527-077567283238-pledge-logo.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/blueprints/author/platform/smartlabel.svg,0.22,66,300
https://www.breyers.com/sk-eu/content/dam/brands/breyers/brazil/1333599-077567000651-topdown-clean.jpg.rendition.1960.1960.jpg,0.49,245,500
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1202282-077567001160-top-down.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1131876-077567000644.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048123-077567001320-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/876999-delights-cookies---cream-front-of-pack-w-top.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/877206-delights-vanilla-bean-front-of-pack.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048144-077567001313-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1003764-077567001139-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338


 page: https://www.breyers.com/us/en/products/carbsmart-vanilla.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046529-077567283238-topdown-clean.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046539-077567283238.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046534-077567283238.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046532-077567283238.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046531-077567283238.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046530-077567283238-topdown.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046528-077567283238-sugars-calories.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1046527-077567283238-pledge-logo.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/blueprints/author/platform/smartlabel.svg,0.22,66,300
,null,106,0
https://www.breyers.com/sk-eu/content/dam/brands/breyers/brazil/1333599-077567000651-topdown-clean.jpg.rendition.1960.1960.jpg,0.49,245,500
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1202282-077567001160-top-down.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1131876-077567000644.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048123-077567001320-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/876999-delights-cookies---cream-front-of-pack-w-top.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/877206-delights-vanilla-bean-front-of-pack.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1048144-077567001313-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1003764-077567001139-top-down-clean.png.rendition.1960.1960.png,0.18,245,1338


 page: https://www.breyers.com/us/en/products/chocolate.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1016017-077567254207-top-down-c.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/782125-breyers-black-pack-chocolate-non-gmo-25420.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1016026-077567254207.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1016023-077567254207.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1016019-077567254207.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1016018-077567254207-top-down.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1041850-077567603005-grade-a-flag.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1088969-077567000620-non-gmo-sourced.png.rendition.767.767.png,0.04,38,767
https://www.breyers.com/sk-eu/content/dam/brands/blueprints/author/platform/smartlabel.svg,0.22,66,300
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089006-077567395269-top-down-clean.png.rendition.767.767.png,1.95,1500,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089006-077567395269-top-down-clean.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089031-077567395269.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089028-077567395269.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089027-077567395269.png.rendition.767.767.png,0.07,60,767
https://www.breyers.com/sk-eu/content/dam/brands/breyers/united_states_ofamerica/1089026-077567395269.png.rendition.767.767.png,0.07,60,767
